#bin	frequency	peak0	peak1	peak2	peak3	peak4	peak5
0.03300	2.14746508404e-18	2.14746507614e-18	7.90085498516e-27	3.68668367947e-75	5.13749445479e-147	2.00179787868e-246	0.0
0.03350	2.35679663894e-18	2.35679663051e-18	8.42806587185e-27	4.09753867368e-75	5.94985570811e-147	2.41956639792e-246	0.0
0.03400	2.58629569448e-18	2.58629568549e-18	8.99017274752e-27	4.55403675126e-75	6.89045318037e-147	2.92442945406e-246	0.0
0.03450	2.83788185582e-18	2.83788184623e-18	9.58946630169e-27	5.06123247305e-75	7.97949530432e-147	3.53452484768e-246	0.0
0.03500	3.11365516912e-18	3.1136551589e-18	1.02283863216e-26	5.62473835858e-75	9.24036966779e-147	4.27176362963e-246	0.0
0.03550	3.41591286438e-18	3.41591285348e-18	1.09095313128e-26	6.25078627902e-75	1.07001422942e-146	5.16261422132e-246	0.0
0.03600	3.74716763104e-18	3.7471676194e-18	1.16356687348e-26	6.94629558338e-75	1.2390135199e-146	6.23904930872e-246	0.0
0.03650	4.11016756475e-18	4.11016755234e-18	1.24097458911e-26	7.7189486939e-75	1.43465944727e-146	7.53968926385e-246	0.0
0.03700	4.50791793612e-18	4.50791792289e-18	1.32349015152e-26	8.57727498685e-75	1.66114630548e-146	9.111182839e-246	0.0
0.03750	4.94370494522e-18	4.94370493111e-18	1.41144780958e-26	9.530743864e-75	1.92332745762e-146	1.10098743176e-245	0.0
0.03800	5.42112164086e-18	5.42112162581e-18	1.50520349886e-26	1.05898680182e-74	2.22681872042e-146	1.33038164898e-245	0.0
0.03850	5.94409619884e-18	5.94409618279e-18	1.6051362365e-26	1.17663180063e-74	2.57811793803e-146	1.60752011122e-245	0.0
0.03900	6.516922771e-18	6.51692275389e-18	1.71164960489e-26	1.30730493631e-74	2.98474327598e-146	1.94232933421e-245	0.0
0.03950	7.14429513555e-18	7.1442951173e-18	1.82517332995e-26	1.45244436246e-74	3.45539316075e-146	2.34679745383e-245	0.0
0.04000	7.83134339927e-18	7.83134337981e-18	1.94616495987e-26	1.61364647782e-74	4.00013124722e-146	2.8354019419e-245	0.0
0.04050	8.58367402464e-18	8.58367400389e-18	2.07511165069e-26	1.79268328206e-74	4.63060032363e-146	3.42562596307e-245	0.0
0.04100	9.40741347884e-18	9.40741345672e-18	2.21253206542e-26	1.99152162894e-74	5.36026967317e-146	4.13858172336e-245	0.0
0.04150	1.03092558275e-17	1.03092558039e-17	2.35897839396e-26	2.21234458344e-74	6.20472111622e-146	4.99976295569e-245	0.0
0.04200	1.1296514625e-17	1.12965145999e-17	2.51503850122e-26	2.45757511214e-74	7.18197977127e-146	6.03995326638e-245	0.0
0.04250	1.23771794831e-17	1.23771794563e-17	2.68133821179e-26	2.72990236084e-74	8.31289651337e-146	7.29632259114e-245	0.0
0.04300	1.35599777342e-17	1.35599777057e-17	2.85854373947e-26	3.0323108011e-74	9.62159019643e-146	8.81375067405e-245	0.0
0.04350	1.48544416417e-17	1.48544416113e-17	3.04736427099e-26	3.36811255776e-74	1.11359589619e-145	1.06464245244e-244	0.0
0.04400	1.62709816479e-17	1.62709816154e-17	3.24855471346e-26	3.74098326367e-74	1.28882714082e-145	1.28597665074e-244	0.0
0.04450	1.78209661958e-17	1.78209661611e-17	3.46291861594e-26	4.15500182493e-74	1.4915850072e-145	1.55327614276e-244	0.0
0.04500	1.95168087052e-17	1.95168086683e-17	3.69131127595e-26	4.61469452205e-74	1.72618616116e-145	1.87607650828e-244	0.0
0.04550	2.13720623356e-17	2.13720622963e-17	3.93464304264e-26	5.12508391786e-74	1.99762303208e-145	2.26588937956e-244	0.0
0.04600	2.3401523222e-17	2.34015231801e-17	4.19388282888e-26	5.69174309477e-74	2.31166941887e-145	2.73661149749e-244	0.0
0.04650	2.56213429315e-17	2.56213428868e-17	4.47006184534e-26	6.32085579975e-74	2.67500257096e-145	3.30501835389e-244	0.0
0.04700	2.80491509512e-17	2.80491509036e-17	4.76427757053e-26	7.01928313871e-74	3.0953443101e-145	3.99135989201e-244	0.0
0.04750	3.07041880902e-17	3.07041880394e-17	5.07769797156e-26	7.79463753095e-74	3.58162415734e-145	4.82007934262e-244	0.0
0.04800	3.36074517523e-17	3.36074516981e-17	5.4115659912e-26	8.65536471133e-74	4.14416789066e-145	5.82068062112e-244	0.0
0.04850	3.67818541224e-17	3.67818540647e-17	5.76720431805e-26	9.61083465306e-74	4.79491549075e-145	7.02877495539e-244	0.0
0.04900	4.02523943959e-17	4.02523943345e-17	6.14602045743e-26	1.06714423783e-73	5.54767304727e-145	8.48734373889e-244	0.0
0.04950	4.404634628e-17	4.40463462145e-17	6.54951212171e-26	1.18487197285e-73	6.41840390805e-145	1.02482622311e-243	0.0
0.05001	4.81934621013e-17	4.81934620315e-17	6.97927296012e-26	1.31554592809e-73	7.42556517409e-145	1.23741379262e-243	0.0
