# time	signal	one_signal	two_signal
-8.679937541312295351e-07 -4.319995641708374023e-04 -3.279099121161754160e-05 -9.852726014866347253e-06
-8.659937541877933981e-07 -5.760006606578826904e-04 -2.730232400742726951e-05 -9.201314899237155931e-06
-8.639937542443572610e-07 -5.399994552135467529e-04 -2.317965620067160618e-05 -7.328322936336554117e-06
-8.619937543009211239e-07 -9.359978139400482178e-04 -2.170996994872001392e-05 -5.420056914276049922e-06
-8.599937543574849868e-07 -1.043997704982757568e-03 -2.095199857598746584e-05 -3.574483917854084746e-06
-8.579937544140488498e-07 -1.187998801469802856e-03 -2.003256583918180516e-05 -2.230292705522232407e-06
-8.559937544706127127e-07 -1.439999788999557495e-03 -2.129908334683736011e-05 -2.478622014097582744e-06
-8.539937545271765756e-07 -1.439999788999557495e-03 -2.644386052796672871e-05 -2.361405951339884725e-06
-8.519937545837404386e-07 -1.583997160196304321e-03 -3.108236757851777921e-05 -3.500065807621751734e-06
-8.499937546403043015e-07 -1.763999462127685547e-03 -3.695047655416698151e-05 -4.097274667246164970e-06
-8.479937546968681644e-07 -1.763999462127685547e-03 -4.209281415205346903e-05 -4.700818831775050576e-06
-8.459937547534320273e-07 -1.655999571084976196e-03 -4.421922890796789609e-05 -4.605073478328590231e-06
-8.439937548099958903e-07 -1.583997160196304321e-03 -4.535926216926275032e-05 -7.269470957582993317e-06
-8.419937548665597532e-07 -1.727998256683349609e-03 -4.690592205418656904e-05 -7.419638085704258827e-06
-8.399937549231236161e-07 -1.403998583555221558e-03 -4.670653000880489346e-05 -6.415073165593414934e-06
-8.379937549796874790e-07 -1.511998474597930908e-03 -4.512061431101971169e-05 -4.837328495368724419e-06
-8.359937550362513420e-07 -1.079998910427093506e-03 -4.246699845402966971e-05 -5.140978205611932198e-06
-8.339937550928152049e-07 -9.719990193843841553e-04 -3.668289515186306030e-05 -7.067604692254853974e-06
-8.319937551493790678e-07 -6.840005517005920410e-04 -3.204908411766598918e-05 -8.320482253124583403e-06
-8.299937552059429308e-07 -3.239996731281280518e-04 -2.679205946825916458e-05 -7.426432034329919024e-06
-8.279937552625067937e-07 -2.159997820854187012e-04 -2.028190710037178020e-05 -5.983034682554998391e-06
-8.259937553190706566e-07 0.000000000000000000e+00 -1.418434978763680631e-05 -6.043048359490588117e-06
-8.239937553756345195e-07 6.479993462562561035e-04 -7.748161427659191255e-06 -6.819576655488881602e-06
-8.219937554321983825e-07 7.200017571449279785e-04 -1.560680580222510906e-06 -7.641668467988116555e-06
-8.199937554887622454e-07 9.000003337860107422e-04 1.341077964853596885e-06 -7.736438042481741400e-06
-8.179937555453261083e-07 7.920004427433013916e-04 2.277429763599154333e-06 -8.256612723736115206e-06
-8.159937556018899712e-07 1.044001430273056030e-03 2.426621444053469435e-06 -9.236244758265890121e-06
-8.139937556584538342e-07 1.368001103401184082e-03 5.268825710382821563e-07 -9.188646578208682425e-06
-8.119937557150176971e-07 1.331999897956848145e-03 -5.570832776266868298e-06 -9.114747132431361303e-06
-8.099937557715815600e-07 1.224000006914138794e-03 -1.227321575973985169e-05 -9.928957823498892383e-06
-8.079937558281454229e-07 1.188002526760101318e-03 -1.678079226812484909e-05 -8.742985110543649002e-06
-8.059937558847092859e-07 9.360015392303466797e-04 -2.480280101492625045e-05 -7.579850562405622131e-06
