# one_x_offset	two_x_offset	two_amplitude	one_amplitude
2.739495472460110705e-07 3.745691214661445575e-06 9.146748897679560786e-01 1.027924005560392207e+00
-3.832058209272454539e-06 7.039416624407043431e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.118059384700410590e-06 -1.492059430686831149e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.864746446948944184e-06 2.400440184915340648e-06 8.744831107014499061e-01 1.076794929834999248e+00
2.080552716954406269e-06 4.754088027595677421e-06 1.218059557801161263e+00 1.465332144904739842e+00
-1.510065206351042160e-06 1.269934715025188372e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.210192410472842239e-06 1.074004249441004597e-06 7.209477602413083552e-01 1.201477164566090439e+00
-4.068058780215248053e-06 -2.896058813361671729e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.354889424353942313e-06 -2.357337845530236936e-06 9.226727457384522602e-01 9.750556541869289662e-01
1.839405219126517181e-07 2.057940468912312156e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.652420766877778544e-06 5.514268175137116153e-07 8.052442648904858391e-01 1.191937325592890451e+00
-4.684062228497549230e-06 1.973937583201351087e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.024062275445554612e-06 9.999376107479531790e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.504060529018242878e-06 -1.860606228576914734e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.250065213704344340e-06 1.473934709255674353e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.405600650073557952e-08 2.535943921097519874e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.144062243769792220e-06 2.959376306584320823e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.886065167435104466e-06 1.533934707558758466e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.068058780215248053e-06 -2.708058818678674844e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.365165135430870118e-06 2.180699689564068220e-06 9.394564087976190470e-01 8.484005423876282981e-01
-1.819671476816623189e-06 -1.023378169957529373e-06 1.113285434790412642e+00 8.624982666066629555e-01
-2.196981496596686957e-06 -1.890612114094227180e-06 8.226565875109547177e-01 1.048510939370943751e+00
-4.074160389330569943e-06 -3.869533056969005291e-06 5.257512573911633513e-01 1.121699430692991273e+00
-1.942062883663933796e-06 -3.420629289150241371e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.833296624316045438e-06 -2.600028457555005511e-06 1.097528018565280039e+00 8.260576179647846073e-01
-5.000040267824814472e-06 -3.095646250900105608e-07 7.869350931611760469e-01 9.312543077141568482e-01
1.896445127932140564e-06 2.454439141999994135e-06 7.337156922935702541e-01 1.101805459857742031e+00
8.642059440700521508e-07 4.726231496768439794e-06 8.062082279859171807e-01 8.772942221351786030e-01
-1.468064052304226295e-06 5.519358905662721487e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.214058860931879603e-06 1.305941067797653109e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.702063383223131450e-06 1.915936429607046126e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.918442288128396860e-06 -1.586639019498467203e-06 8.328558367386462713e-01 1.187616472013774072e+00
-4.552064542700078155e-06 2.885935246938915620e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.742063959709182684e-06 -8.000640711965565128e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.140537079256897324e-06 -7.523243103524931516e-07 8.839271375631867489e-01 1.181235754751899014e+00
-9.840571345847383606e-07 1.501942795106380021e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.420594632110523321e-07 3.279940434351791907e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.839692753603727949e-06 -2.622558723529139761e-06 1.104681617343825639e+00 1.017333843453378739e+00
-4.084059934997394136e-06 2.061939891181855090e-06 1.000000000000000000e+00 1.000000000000000000e+00
-7.740600286105872799e-07 1.241939914373038890e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.217013702322287792e-06 -2.097768898577745182e-06 6.419166004475373999e-01 1.006921166120478883e+00
-1.002057711692992087e-06 3.519422500132727113e-07 1.000000000000000000e+00 1.000000000000000000e+00
-8.500640697824599396e-07 9.935905895079001832e-09 1.000000000000000000e+00 1.000000000000000000e+00
-3.954063981995344677e-06 2.077935847408044735e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.442057093349682287e-06 1.033942808342323946e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.999987046657691654e-06 3.216604851125358400e-07 1.465480753676867032e+00 7.309010751401007200e-01
1.129268213226940776e-07 6.626960834663038172e-07 9.104407745991632828e-01 7.834421819126901054e-01
2.324154256374379401e-08 8.983689616561878546e-07 1.048597790691017773e+00 9.732629216454639076e-01
-2.606698117341393043e-08 2.435932949196470807e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.742058211817829217e-06 -3.120583088248541370e-07 1.000000000000000000e+00 1.000000000000000000e+00
1.019434923412575860e-06 2.117323212141940237e-06 1.102308594928105512e+00 8.774697498641410576e-01
-2.192063454210779423e-06 6.439364655816629470e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.492061106974954548e-06 1.417938754160761966e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.106059385039794614e-06 1.779405220823424599e-07 1.000000000000000000e+00 1.000000000000000000e+00
-8.160652259787025954e-07 -5.006524764266209634e-08 1.000000000000000000e+00 1.000000000000000000e+00
-2.860066323405091670e-06 -7.820663821749452511e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.758059944217303793e-06 3.167939859902038891e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.600061709819765060e-06 1.305938179711010644e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.263362113536263140e-06 -3.904826024691412490e-06 8.501071651318907740e-01 1.128992447130046317e+00
-3.830065140736961165e-06 9.159347250369921100e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.594062808660251555e-06 1.719370565480630907e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.898064040142995766e-06 -4.000640825093290982e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.700065116131680791e-06 -8.440652251868085144e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.648064047213478632e-06 6.519358877380790023e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.774063437750695311e-06 7.639364621878311714e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.011937536301444750e-06 -1.603364855015317811e-06 9.486595940963001850e-01 9.753182668623588958e-01
-2.156064032846257448e-06 1.431935865678172461e-06 1.000000000000000000e+00 1.000000000000000000e+00
