# one_x_offset	two_x_offset	two_amplitude	one_amplitude
2.803457000937900109e-07 3.744127182099413714e-06 9.219673246692531299e-01 1.015068632101233437e+00
-3.832058209272454539e-06 7.039416624407043431e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.118059384700410590e-06 -1.492059430686831149e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.862074416107285486e-06 2.402026049451562989e-06 8.603792012434605674e-01 1.092793945352493523e+00
2.079034936692914470e-06 4.753514235367051103e-06 1.225331590536202331e+00 1.463884185238264468e+00
-1.510065206351042160e-06 1.269934715025188372e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.216130716129860025e-06 1.092825309816850360e-06 8.465596192884327076e-01 1.050273290919355285e+00
-4.068058780215248053e-06 -2.896058813361671729e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.341819141698216931e-06 -2.365618513867343933e-06 1.249566913007975844e+00 6.670687917408942846e-01
1.839405219126517181e-07 2.057940468912312156e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.653319653580317674e-06 5.554115150215938989e-07 8.230032605577464189e-01 1.192802454963842296e+00
-4.684062228497549230e-06 1.973937583201351087e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.024062275445554612e-06 9.999376107479531790e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.504060529018242878e-06 -1.860606228576914734e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.250065213704344340e-06 1.473934709255674353e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.405600650073557952e-08 2.535943921097519874e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.144062243769792220e-06 2.959376306584320823e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.886065167435104466e-06 1.533934707558758466e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.068058780215248053e-06 -2.708058818678674844e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.363705728309213601e-06 2.175902244095218239e-06 9.448470424486048458e-01 8.437314617498962166e-01
-1.815875177727611366e-06 -1.017889775206166227e-06 1.101383391749702678e+00 8.640070091871339120e-01
-2.197627386858608036e-06 -1.897482377652834300e-06 8.077546706385321240e-01 1.044495473264217322e+00
-4.080111968419672126e-06 -3.892046399324932460e-06 6.262813197861408776e-01 1.032081397464674977e+00
-1.942062883663933796e-06 -3.420629289150241371e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.596237979198254878e-06 -2.831088821658209278e-06 8.367309325666743014e-01 1.109621093626862676e+00
-4.999716348237292230e-06 -3.088653563699614665e-07 7.997144643214274540e-01 9.462221166390110128e-01
1.900559753858287127e-06 2.455385727192379635e-06 7.319464915645135239e-01 1.101291920153937731e+00
-1.406436350786977604e-06 8.663293797882809684e-07 8.651642120555966819e-01 5.712061683034440618e-01
-1.468064052304226295e-06 5.519358905662721487e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.214058860931879603e-06 1.305941067797653109e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.702063383223131450e-06 1.915936429607046126e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.920858614191824280e-06 -1.590590037113519388e-06 8.251546513789901338e-01 1.172228885945583832e+00
-4.552064542700078155e-06 2.885935246938915620e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.742063959709182684e-06 -8.000640711965565128e-07 1.000000000000000000e+00 1.000000000000000000e+00
